The teachers are very nice and friendly . 	A1

I like my house because it is big and comfortable . 	A1

You can buy Turkish and English products as well. 	A1

The weather was cloudy but fine. 	A2

It was cheap but beautiful. 	A2

It was the biggest TV in the bazaar, with its huge, black screen. 	B1

My house was built in 1864. It's an old, Victorian-style house. 	B1

In the winter you can go to the fitness centre, there you can get stronger and fitter. 	B1

The cars will fly around the buildings like planes, and they will be faster and cheaper. 	B1

Her name is Cassia, she is beautiful, intelligent, funny and very reliable. 	B1

He is tall, thin and not very handsome, but he is very nice and friendly. 	B1

I could see how the fire was burning the door, and the room became hotter and hotter. 	B1

I think that's a good question, because nowadays television is getting worse and worse, but there are still some good programmes. 	B1

He was tall and good-looking. 	B1

This programme is presented by "Gato Feobranto," a well-known comedy group. 	B1

The selling point is that it contains the most up-to-date and state-of-the-art know-how, for instance a water-proof keyboard, information security system, etc. A survey of our customers last year indicated that over 70% of them are content with the user-friendly designs. 	B2

getting to work in big cities by car is more healthy for drivers but has a long-term effect on the environment and on us, in the end, as well. 	B2

Besides, we could leave one day in the morning and travel by boat to a small and exotic island full of different and exotic species of birds that we could observe and photograph. 	B2

Emily Brontë succeeded in writing a romantic, psychological and tragic story, beautifully set in these mysterious moors. 	B2

I would describe myself as an easy-going and open-minded person. 	C1

we suggest investing a certain amount of money in the above-mentioned technical devices in order to achieve the financial target. 	C1

But as she does not live in a well-to-do family, Ola was never able to afford additional private lessons, for example. 	C1

If anyone has ever seen it, they would agree with me that it was THE most jaw-dropping road in the world. 	C1

A timid, shy, self-conscious, over-sensitive and vulnerable person can yearn to make friends with someone who is very self-assured, confident, decisive, even bossy. 	C2

In the increasingly materialistic, greedy and shallow society we live in today, it would almost seem that there are no disadvantages to being rich. 	C2

Imaginative, good-humoured, friendly, he was respected and liked by his peer-students. 	C2

The latter – fat, ugly and sick – blows his top when Ralph tells the others about the fat boy's nice name, as he wanted to keep it secret. 	C2

I played computer games with my older brother. 	A2

The shirt was cheaper than the trousers. 	A2

It is easy to use and it is smaller than the old one. 	A2

I like it because it's small and easier to use than other phones. 	A2

The students were happier and there were lots of stories for their parents. 	A2

I just watched a cricket match with my younger brother and my father. 	A2

I bought the shoes and the t-shirt for my older brother's party. 	A2

I want to take this course because I want to know more about computers, so that I can get a better job. 	A2

Sam, It would be better if you came after 4.30 p.m. 	A2

You can come by bus, it's easier. 	A2

You need to wear shorts and a t-shirt so you are more comfortable. 	A2

The rooms are all very beautiful, but I prefer my room because is bigger. 	A2

I bought lots of T-shirts because the weather is getting hotter. 	A2

 I think it will be nicer. 	A2

You can come by boat, but I prefer to come by aeroplane because it is safer. 	A2

What colour do you think is better? 	A2

For further information, contact Joey Hung. 	A2

I think you must be more careful. 	A2

It was more expensive than the other clothes. 	A2

It's smaller than my old phone and I like it because it has bluetooth and it isn't very expensive. 	A2

The weather in Thailand was hotter than Vietnam, but I was alright! 	A2

My new mobile is more interesting than my old mobile. 	A2

I think the teacher in the new class is much better than the last one. 	B1

The house is beautiful, and so much bigger than the previous one. 	B1

He's 15, a bit smaller than me, dark hair, brown eyes. 	B1

Our first lesson was a bit shorter, but very unusual. 	B1

She's a little bit older than me. 	B1

I saw everything become smaller and smaller. 	B1

I think that's a good question, because nowadays television is getting worse and worse, but there are still some good programmes. 	B1

Summer is coming. Days become longer and longer. 	B1

 I'm sure you've seen part one already, but part two was even better! 	B1

As I finished, my smile got even bigger. 	B1

I think that it is awful, because that means that in Spain it will be even hotter than it is now. 	B1

In addition, remember that a bike, even a good one, is a lot cheaper than a car. 	B2

Don't you think it would be a lot easier for you to finish college first? 	B2

Although it is a second-hand computer which one of my colleagues sold me, it is a much better investment than the bicycle, I think. 	B2

I think the Majestic Hotel is too expensive, so what about a much cheaper hotel like the Plaza Hotel? 	B2

On the other hand, our grandparents had much fresher vegetables and meat they could trust, without BSE... 	B2

I bought a new one, since the price of a second-hand one was slightly cheaper. 	B2

They have their own characteristics, but the food of restaurant A is slightly better than that of B. 	B2

That is why we are not any happier than you were. 	C2

I will probably find the water to be no higher than my thighs. 	C2

Although she is not that much older than I am, one could think there were quite a few years between us. 	C2

I like Croydon because it's very quiet and very nice. 	A1

My neighbours are very friendly. 	A1

It was sunny and really hot every day! 	A2

I'm so happy because we can have a party for my birthday together! 	A2

They are quite expensive. 	A2

I think swimming is good for my body. 	A2

The house was full of people, my family and friends. 	A2

They aren't too expensive. They cost like £30. 	A2

I bought a jacket because the other one that I had was too small. 	A2

I bought them because I noticed that most of my clothes were too small for me. 	A2

 my boss told me that at 10.15 am I have a very important meeting. 	B1

 she's also a really good friend. 	B1

My room is big enough, there is a lot of space, and for this reason I will buy a stereo. 	B1

I thought they had the same problem as me: we don't think our English is good enough. 	B1

I been thinking about your last letter for quite a long time and I came to the following conclusion. 	B1

This is quite a difficult situation you have. 	B1

I personally think going to a large school is quite a good idea. 	B1

He always told me that he was too busy to write a letter to me, his wife. 	B1

We took two days to mend it, but the machine is too old to work well. 	B1

 I was lucky enough to take part in it last November, and I enjoyed it immensely. 	B2

In my opinion young people at that age are not mature enough to decide by themselves what they want for their future. 	B2

Films tend to be rather a simple art, while books are a thing to be enjoyed in a calmer way. 	B2

I must confess that I'm rather a poor player. 	B2

I live rather a long way from work, about 10 km. 	B2

I am absolutely sure that it will attract even more attention. 	C1

